node	human	monkey	mosquito
n196	0.9999892425027509	5.378748624567087e-06	5.378748624567087e-06
n198	0.9999793522070299	1.032389648498298e-05	1.032389648498298e-05
n201	0.9999999875668781	6.216560894597389e-09	6.21656089459739e-09
KU527068	1.0	0.0	0.0
n294	0.9999536180095049	2.3190995247565442e-05	2.3190995247565442e-05
n296	0.99999999584574	2.077130017009189e-09	2.0771300170091886e-09
n325	0.9999895604398243	5.219780087909815e-06	5.219780087909815e-06
KY014309	1.0	0.0	0.0
n336	0.9997930502585117	0.00010347487074417325	0.00010347487074417325
KY014296	1.0	0.0	0.0
KY014320	1.0	0.0	0.0
MH763833	1.0	0.0	0.0
MH763832	1.0	0.0	0.0
KY241698	1.0	0.0	0.0
KY241740	1.0	0.0	0.0
KY241784	0.0	0.0	1.0
KY241761	1.0	0.0	0.0
KY241746	1.0	0.0	0.0
n396	0.999999999994253	2.8735281641430468e-12	2.8735281641430468e-12
KY241739	1.0	0.0	0.0
n403	0.999999369668972	3.151655139408576e-07	3.151655139408576e-07
KY241705	1.0	0.0	0.0
KY241725	1.0	0.0	0.0
KY241737	1.0	0.0	0.0
KY241679	1.0	0.0	0.0
KX827309	1.0	0.0	0.0
KY241674	1.0	0.0	0.0
n423	1.0	1.6252088258314425e-25	1.6252088258314425e-25
KY241713	1.0	0.0	0.0
KX813683	1.0	0.0	0.0
KY241759	1.0	0.0	0.0
KY241692	1.0	0.0	0.0
KY241693	1.0	0.0	0.0
KY241775	0.0	0.0	1.0
n449	0.9999999992618827	3.674349085509672e-10	3.706824818896327e-10
KY241774	0.0	0.0	1.0
KY241689	1.0	0.0	0.0
KY241736	1.0	0.0	0.0
MF352141	1.0	0.0	0.0
KR872956	1.0	0.0	0.0
KU321639	1.0	0.0	0.0
MF783073	0.0	0.0	1.0
n47	0.9999996478047701	1.760976149638676e-07	1.760976149638676e-07
n46	0.999997986142759	1.0069286204663644e-06	1.0069286204663644e-06
KU940228	1.0	0.0	0.0
n57	0.9999998697225746	6.513871270709556e-08	6.513871270709556e-08
KY559017	1.0	0.0	0.0
n54	0.9999999996779445	1.6102766888788854e-10	1.610276688878886e-10
KY559007	1.0	0.0	0.0
KY559005	1.0	0.0	0.0
KY441401	1.0	0.0	0.0
n67	0.9999990099482476	4.950258762191882e-07	4.950258762191882e-07
KY693680	1.0	0.0	0.0
KY631492	1.0	0.0	0.0
n96	0.9999962648779054	1.8675610472935475e-06	1.8675610472935475e-06
n98	0.9999998437875103	7.81062448058979e-08	7.81062448058979e-08
KU926309	1.0	0.0	0.0
n189	0.9999951098038851	2.4450980574829173e-06	2.4450980574829173e-06
n180	0.9999997647054875	1.1764725632303123e-07	1.1764725632303123e-07
n104	0.999999999912897	4.355152989601266e-11	4.355152989601266e-11
n172	0.9999987916819533	6.041590234332196e-07	6.041590234332196e-07
n163	0.9999999795901454	1.0204927244563043e-08	1.0204927244563043e-08
n159	0.9999982665187228	8.66740638632103e-07	8.667406386321029e-07
n121	0.9999997763517798	1.1182410992618429e-07	1.1182411015332362e-07
n143	0.9999964542009703	1.7728995149209304e-06	1.7728995149209304e-06
n148	0.99999843143628	7.842818600163895e-07	7.842818600163895e-07
KX879604	1.0	0.0	0.0
