node	human	monkey	mosquito
node_399	1.0	3.9607997511527076e-23	3.9607997511527076e-23
node_41	0.999999999999222	8.649892577035109e-15	7.693855259664108e-13
KX447509	1.0	0.0	0.0
KX447514	1.0	0.0	0.0
KJ776791	1.0	0.0	0.0
node_45	0.9999447997095489	2.7600147000299327e-05	2.760014345084236e-05
node_44	0.9999717471454129	1.4127272093420227e-05	1.4125582493687768e-05
KX447513	1.0	0.0	0.0
KX447511	1.0	0.0	0.0
node_38	0.9999695929342899	1.5203532855010087e-05	1.5203532855010087e-05
node_46	0.9999957763676544	2.1118161728476695e-06	2.1118161728476695e-06
KY241781	0.0	0.0	1.0
KY241779	0.0	0.0	1.0
KY241713	1.0	0.0	0.0
KX813683	1.0	0.0	0.0
KY241689	1.0	0.0	0.0
KY241736	1.0	0.0	0.0
KY241730	1.0	0.0	0.0
KY241787	0.0	0.0	1.0
node_47	0.9999995681488442	1.4173944450462988e-07	2.901117112937052e-07
KY241727	1.0	0.0	0.0
KY241780	0.0	0.0	1.0
KY241682	1.0	0.0	0.0
node_105	0.012809903584019918	4.065556053639761e-05	0.9871494408554438
node_441	0.9999999006641385	3.0774367016840043e-08	6.856149457279975e-08
NODE_0000447	0.996459520516069	6.1332059413265814e-06	0.003534346277989598
KY241685	1.0	0.0	0.0
KY241676	1.0	0.0	0.0
KY241678	1.0	0.0	0.0
KY241756	1.0	0.0	0.0
KY241680	1.0	0.0	0.0
KY241684	1.0	0.0	0.0
KY241767	1.0	0.0	0.0
KY241677	1.0	0.0	0.0
KY241675	1.0	0.0	0.0
KY241681	1.0	0.0	0.0
KY241777	0.0	0.0	1.0
KY241751	1.0	0.0	0.0
KY241714	1.0	0.0	0.0
KY241688	1.0	0.0	0.0
NODE_0000451	0.9999997668193852	8.866582217555143e-08	1.4451479265667201e-07
node_89	0.9999999999999996	4.7434123492600546e-18	4.990810179706523e-16
LC191864	1.0	0.0	0.0
KX806557	1.0	0.0	0.0
KU761561	1.0	0.0	0.0
node_50	0.9999999771678626	2.2415547605840883e-08	4.165896582386186e-10
KX369547	1.0	0.0	0.0
KX447512	1.0	0.0	0.0
KX447510	1.0	0.0	0.0
node_51	0.999999166609272	4.166953640548145e-07	4.166953640548145e-07
KY241673	1.0	0.0	0.0
KY241766	1.0	0.0	0.0
KY241778	0.0	0.0	1.0
KY241776	0.0	0.0	1.0
KY241690	1.0	0.0	0.0
NODE_0000446	1.0	0.0	0.0
KY241759	1.0	0.0	0.0
NODE_0000448	0.4905204931274686	2.838839267966462e-06	0.5094766680332634
KY241738	1.0	0.0	0.0
NODE_0000452	0.9999899139147781	8.83522703974003e-08	9.99773295144763e-06
KY241749	1.0	0.0	0.0
KY241697	1.0	0.0	0.0
KY241706	1.0	0.0	0.0
KY241671	1.0	0.0	0.0
KY241721	1.0	0.0	0.0
KY241716	1.0	0.0	0.0
KY241783	0.0	0.0	1.0
node_138	0.9999997759691963	1.1201540187306643e-07	1.1201540187662075e-07
KU963796	1.0	0.0	0.0
KU820899	1.0	0.0	0.0
node_55	0.9999995984148172	2.0082301002381736e-07	2.0076217271136249e-07
node_69	0.9976469696986459	0.0023188369047269816	3.4193396627172494e-05
node_57	0.9999543832052643	2.280839736782349e-05	2.280839736782349e-05
node_56	1.0	2.523581966705834e-19	2.523581966705834e-19
KY241686	1.0	0.0	0.0
KY241694	1.0	0.0	0.0
KY241774	0.0	0.0	1.0
NODE_0000449	0.49040588129430457	1.430178195767369e-06	0.5095926885274996
KY241773	1.0	0.0	0.0
NODE_0000453	0.9988366786568346	2.9970782670798863e-06	0.0011603242648983562
KY241698	1.0	0.0	0.0
KY241740	1.0	0.0	0.0
KU997667	1.0	0.0	0.0
KX013000	1.0	0.0	0.0
MF099651	0.0	1.0	0.0
MF036115	1.0	0.0	0.0
KX051563	1.0	0.0	0.0
node_64	0.9999874491383908	6.27543080465962e-06	6.27543080465962e-06
KU729218	1.0	0.0	0.0
KY241788	1.0	0.0	0.0
node_83	0.9999340864382733	3.295678086329669e-05	3.295678086329669e-05
node_86	0.9999753276255705	1.233618721476653e-05	1.233618721476653e-05
node_80	0.9999809940298231	9.502985088402224e-06	9.502985088402224e-06
node_94	0.9999918199593822	4.090020308804796e-06	4.090020308804796e-06
node_85	0.9999997438732898	1.2806335513605423e-07	1.2806335513605423e-07
node_84	0.9999996481792115	1.7591039428089705e-07	1.7591039428089705e-07
node_82	0.9999998562409588	7.187952066410722e-08	7.187952066410722e-08
KY241775	0.0	0.0	1.0
NODE_0000450	0.9999898271517842	7.220903517070585e-09	1.0165627312334147e-05
KY241782	0.0	0.0	1.0
NODE_0000454	0.9999991256750029	4.822455996318032e-09	8.695025409626589e-07
KU509998	1.0	0.0	0.0
node_74	0.9999999996503445	1.7482778517834002e-10	1.7482778517834002e-10
KX197205	1.0	0.0	0.0
KY559021	1.0	0.0	0.0
KY014313	1.0	0.0	0.0
node_100	0.9999999999873261	6.3369569797796745e-12	6.3369569797796745e-12
node_92	0.9999957827394997	2.108630250089875e-06	2.108630250089875e-06
node_93	0.9999939189217831	3.0405391083559744e-06	3.0405391083559744e-06
node_108	0.999977191209492	1.1404395254062008e-05	1.1404395254062008e-05
node_107	0.9999999999966198	1.6900463963160792e-12	1.6900463963160792e-12
KY559003	1.0	0.0	0.0
KY785429	1.0	0.0	0.0
node_115	0.999999999582713	2.0864355034666623e-10	2.0864355034666623e-10
node_97	0.9999647331823714	1.7633408814324778e-05	1.7633408814324778e-05
node_98	0.9999982513865081	8.743067460380649e-07	8.743067460380649e-07
node_95	0.999999990992521	4.503739488873681e-09	4.503739488873681e-09
node_96	0.9999999377032367	3.114838165054616e-08	3.114838165054616e-08
KY241693	1.0	0.0	0.0
KY241692	1.0	0.0	0.0
KY241744	1.0	0.0	0.0
NODE_0000455	1.0	0.0	0.0
MF352141	1.0	0.0	0.0
KR872956	1.0	0.0	0.0
NODE_0000462	1.0	0.0	0.0
KY014317	1.0	0.0	0.0
KY785427	1.0	0.0	0.0
KY014309	1.0	0.0	0.0
KY559031	1.0	0.0	0.0
node_155	0.9999999263151171	3.684244143341742e-08	3.684244143341742e-08
node_174	0.9999889232673328	5.538366333607358e-06	5.538366333607358e-06
KY003154	1.0	0.0	0.0
KY003153	1.0	0.0	0.0
KX101060	1.0	0.0	0.0
node_106	0.9999999834487824	8.275608799436374e-09	8.275608799436374e-09
KY559007	1.0	0.0	0.0
KY559005	1.0	0.0	0.0
KY559017	1.0	0.0	0.0
KY559006	1.0	0.0	0.0
KY559011	1.0	0.0	0.0
KY559010	1.0	0.0	0.0
KY559009	1.0	0.0	0.0
node_146	0.9999973433243126	1.328337843655809e-06	1.328337843655809e-06
KU497555	1.0	0.0	0.0
node_134	0.9999447156515886	2.7642174205780488e-05	2.7642174205780488e-05
node_173	0.9999980358100601	9.820949698861315e-07	9.820949698861315e-07
node_153	0.9999999942207236	2.889638168532879e-09	2.889638168532879e-09
node_112	0.9999999737086188	1.3145690641424164e-08	1.3145690641424164e-08
node_113	0.9999974046678117	1.297666094052256e-06	1.2976660940522561e-06
KU527068	1.0	0.0	0.0
node_114	0.9999999907181158	4.640942150236233e-09	4.640942150236233e-09
MH513600	1.0	0.0	0.0
KY441401	1.0	0.0	0.0
node_127	0.9999266938228806	3.6653088559752335e-05	3.6653088559752335e-05
node_147	0.9999967178802098	1.64105989515076e-06	1.64105989515076e-06
KY785410	1.0	0.0	0.0
node_110	0.9999999994817182	2.5914091799133246e-10	2.5914091799133246e-10
node_130	1.0	1.1422491214814909e-31	1.1422491304580214e-31
KY241734	1.0	0.0	0.0
KY241707	1.0	0.0	0.0
MF783073	0.0	0.0	1.0
KU321639	1.0	0.0	0.0
KY014296	1.0	0.0	0.0
KY014320	1.0	0.0	0.0
KY014301	1.0	0.0	0.0
KY785479	1.0	0.0	0.0
KU940228	1.0	0.0	0.0
node_143	0.9999962666573826	1.8666713086978988e-06	1.8666713086978988e-06
node_123	0.9999994930111288	2.534944356305744e-07	2.534944356305744e-07
KY559013	1.0	0.0	0.0
node_161	0.9999969719831	1.5140084499540508e-06	1.5140084499540508e-06
KY014307	1.0	0.0	0.0
KY785433	1.0	0.0	0.0
KU991811	1.0	0.0	0.0
KY559001	1.0	0.0	0.0
KY558995	1.0	0.0	0.0
KY559015	1.0	0.0	0.0
KY558999	1.0	0.0	0.0
node_188	0.9999969720604268	1.513969786527422e-06	1.513969786527422e-06
node_187	0.9999964299080245	1.7850459876654745e-06	1.7850459876654745e-06
KX879604	1.0	0.0	0.0
MF794971	1.0	0.0	0.0
KX879603	1.0	0.0	0.0
KX811222	0.9794057472627024	0.01029712636864878	0.01029712636864878
KX280026	1.0	0.0	0.0
MH513599	1.0	0.0	0.0
MF073359	1.0	0.0	0.0
node_152	0.9999993453369542	3.2733152284292364e-07	3.2733152284292364e-07
node_151	0.9999991597435819	4.201282090831903e-07	4.2012820908319034e-07
KY693680	1.0	0.0	0.0
KY631492	1.0	0.0	0.0
node_163	0.999999985942254	7.0288730347574234e-09	7.0288730347574234e-09
node_162	0.9999999236186558	3.819067203267235e-08	3.819067203267235e-08
KY559025	1.0	0.0	0.0
KY272991	1.0	0.0	0.0
KU926309	1.0	0.0	0.0
KY785437	1.0	0.0	0.0
KY014308	1.0	0.0	0.0
KY559032	1.0	0.0	0.0
MF801397	1.0	0.0	0.0
MF593625	1.0	0.0	0.0
MF801383	1.0	0.0	0.0
MF801378	1.0	0.0	0.0
node_213	0.999974314362684	1.2842818657964036e-05	1.2842818657964036e-05
node_150	0.999996438892649	1.7805536755296469e-06	1.7805536755296469e-06
node_185	0.9999872747791259	6.362610437046408e-06	6.362610437046408e-06
node_246	0.9999787448138626	1.0627593068681618e-05	1.0627593068681618e-05
node_286	0.9999997801166512	1.0994167443097738e-07	1.0994167443097738e-07
node_214	0.9999946379135188	2.6810432405501195e-06	2.6810432405501195e-06
node_200	0.9999991954205683	4.0228971580547636e-07	4.0228971580547636e-07
node_212	0.9999999935091389	3.2454305228690196e-09	3.2454305228690196e-09
node_265	0.9999987537311046	6.23134447812642e-07	6.23134447812642e-07
node_182	0.9999999999872808	6.359524052157378e-12	6.359524052157378e-12
node_263	0.9999989782188135	5.108905346644355e-07	5.108906519360695e-07
KX520666	1.0	0.0	0.0
KU940224	1.0	0.0	0.0
KU940227	1.0	0.0	0.0
node_144	0.9999983146511503	8.426744247420078e-07	8.426744247420078e-07
KY559019	1.0	0.0	0.0
node_178	0.9999999646578833	1.7671058423305948e-08	1.7671058423305948e-08
KY785455	1.0	0.0	0.0
KY785480	1.0	0.0	0.0
KY558996	1.0	0.0	0.0
node_203	0.9999992858936693	3.5705316532375635e-07	3.5705316532375635e-07
KY785426	1.0	0.0	0.0
MF073358	1.0	0.0	0.0
node_169	0.9999673483234214	1.6325838289247338e-05	1.6325838289247338e-05
KY558989	1.0	0.0	0.0
node_168	0.9999975354171965	1.2322914017206832e-06	1.2322914017206837e-06
KU365779	1.0	0.0	0.0
KU707826	1.0	0.0	0.0
node_181	0.9999998720738766	6.396306162364501e-08	6.396306162364501e-08
KU312312	1.0	0.0	0.0
node_195	1.0	0.0	0.0
node_194	0.9999999804120733	9.793963471277913e-09	9.793963471277913e-09
KX906952	1.0	0.0	0.0
KX262887	1.0	0.0	0.0
MF801406	1.0	0.0	0.0
node_167	0.9999803839065599	9.808046720057947e-06	9.808046720057947e-06
MF801408	1.0	0.0	0.0
node_201	0.9999928888219626	3.555589018767723e-06	3.555589018767723e-06
MF801426	1.0	0.0	0.0
node_266	1.0	0.0	0.0
KY606271	1.0	0.0	0.0
MF801402	1.0	0.0	0.0
node_317	0.9999878235546222	6.088222688940146e-06	6.088222688940146e-06
MF988734	1.0	0.0	0.0
node_231	0.9999998690692437	6.546537804583081e-08	6.546537804583081e-08
node_215	0.999992158087238	3.920956381071062e-06	3.920956381071062e-06
node_216	0.9999917951609542	4.1024195229885825e-06	4.1024195229885825e-06
MF801403	1.0	0.0	0.0
MF801381	1.0	0.0	0.0
node_247	0.9999997777923282	1.1110383591161858e-07	1.1110383591161858e-07
node_248	0.9999956985508982	2.150724550847262e-06	2.150724550847262e-06
node_288	0.9999713020099705	1.4348995014764881e-05	1.4348995014764881e-05
node_287	0.9999992956652353	3.5216738245567253e-07	3.5216738245567253e-07
MF801387	1.0	0.0	0.0
MF801389	1.0	0.0	0.0
node_225	0.9999830115341011	8.494232949443127e-06	8.494232949443127e-06
node_197	0.9999994480226372	2.759886813700915e-07	2.759886813700915e-07
node_226	0.9999972878214716	1.356089264254251e-06	1.356089264254251e-06
node_284	0.9999937581398218	3.120930087195982e-06	3.120930090869356e-06
node_285	0.9999999999581163	1.6570649504440598e-14	4.186709420429591e-11
KX101066	1.0	0.0	0.0
KX101061	1.0	0.0	0.0
KY559018	1.0	0.0	0.0
NODE_0000456	1.0	0.0	0.0
node_218	0.9999991750887015	4.1245564914677114e-07	4.1245564914677114e-07
node_219	0.9999999999999892	5.319880385513442e-15	5.319880385513442e-15
KU729217	1.0	0.0	0.0
KY120352	1.0	0.0	0.0
MF098767	1.0	0.0	0.0
node_186	0.9999940736377222	2.963181138859894e-06	2.963181138859894e-06
KU365777	1.0	0.0	0.0
KU365780	1.0	0.0	0.0
