node	country_code	host_type	location
NODE_0000445	BRA	human	Caribbean
NODE_0000445	CHN	monkey	Central America
NODE_0000445	CUB	mosquito	Eastern Asia
NODE_0000445	DOM		Europe
NODE_0000445	HND		Northern America
NODE_0000445	HTI		South-eastern Asia
NODE_0000445	ITA		
NODE_0000445	JAM		
NODE_0000445	JPN		
NODE_0000445	MEX		
NODE_0000445	NIC		
NODE_0000445	PYF		
NODE_0000445	RUS		
NODE_0000445	SGP		
NODE_0000445	THA		
NODE_0000445	USA		
NODE_0000445	VEN		
node_1	MYS	mosquito	South-eastern Asia
node_2	BRA	human	South-eastern Asia
node_2	CHN		
node_2	CUB		
node_2	DOM		
node_2	HND		
node_2	HTI		
node_2	ITA		
node_2	JAM		
node_2	JPN		
node_2	MEX		
node_2	NIC		
node_2	PYF		
node_2	RUS		
node_2	SGP		
node_2	THA		
node_2	USA		
node_2	VEN		
HQ234499	MYS	mosquito	South-eastern Asia
KX377336	MYS	mosquito	South-eastern Asia
node_4	BRA	human	South-eastern Asia
node_4	CHN		
node_4	CUB		
node_4	DOM		
node_4	HND		
node_4	HTI		
node_4	ITA		
node_4	JAM		
node_4	JPN		
node_4	MEX		
node_4	NIC		
node_4	PYF		
node_4	RUS		
node_4	SGP		
node_4	THA		
node_4	USA		
node_4	VEN		
node_3	BRA	human	South-eastern Asia
node_3	CHN		
node_3	CUB		
node_3	DOM		
node_3	HND		
node_3	HTI		
node_3	ITA		
node_3	JAM		
node_3	JPN		
node_3	MEX		
node_3	NIC		
node_3	PYF		
node_3	RUS		
node_3	SGP		
node_3	THA		
node_3	USA		
node_3	VEN		
KU681082	PHL	human	South-eastern Asia
node_7	KOR	human	Eastern Asia
node_5	BRA	human	South-eastern Asia
node_5	CHN		
node_5	CUB		
node_5	DOM		
node_5	HND		
node_5	HTI		
node_5	ITA		
node_5	JAM		
node_5	JPN		
node_5	KHM		
node_5	MEX		
node_5	NIC		
node_5	PYF		
node_5	RUS		
node_5	SGP		
node_5	THA		
node_5	USA		
node_5	VEN		
node_6	BRA	human	South-eastern Asia
node_6	CHN		
node_6	CUB		
node_6	DOM		
node_6	HND		
node_6	HTI		
node_6	ITA		
node_6	JAM		
node_6	JPN		
node_6	MEX		
node_6	NIC		
node_6	PYF		
node_6	RUS		
