node	AUS	BRA	CAF	CAN	CHN	COL	CUB	DOM	ECU	GBR	GTM	GUF	HND	HTI	IDN	IND	ITA	JAM	JPN	KHM	KOR	MEX	MTQ	MYS	NGA	NIC	PAN	PER	PHL	PRI	PYF	RUS	SEN	SGP	SLV	SUR	THA	TWN	UGA	USA	VEN
root	0.00888534515527142	0.024293733689589907	1.7770679205156632e-08	0.008885891191141406	0.04527943049031215	0.009082479917007492	0.029028920475760434	0.027704843551641323	0.008896974302181258	0.008886176877551314	0.026664303027469125	0.008884840761544527	0.009886445204653713	0.02670083462294674	0.008886111519326967	0.009001501327961134	0.03137285531766652	0.026650543683017985	0.03554451009759306	0.008885831165875794	0.017789354031941772	0.12009890077123235	0.008914847816567456	0.08534654437600571	1.7770679205156632e-08	0.08286347679604575	0.017799661208676126	0.008910020017224735	0.008892292199193064	0.008988879639184896	0.009055808753545346	0.05332915637317712	1.7770679205156632e-08	0.04380091970482737	0.008884923844185433	0.018526240447474723	0.013352366669189515	0.008885124736644986	1.777067920515663e-08	0.10336915994849799	0.017770679205156625
n0	1.4290979405464736e-09	3.907346780263247e-09	2.8581940949288444e-15	1.4291857636626847e-09	7.2826367148009724e-09	1.4608046302792865e-09	4.668943045345251e-09	4.4559816384086695e-09	1.4309683450843663e-09	1.4292317127946568e-09	4.2886235567400665e-09	1.4290168150500828e-09	1.5901125093507522e-09	4.294499212322334e-09	1.4292211548142812e-09	1.447780223731599e-09	5.045935992361587e-09	4.286410536258051e-09	5.7168950995241045e-09	1.4291118072750258e-09	2.8605707134547958e-09	1.931642370158671e-08	1.4338430789470675e-09	0.9999998529039901	2.8581940949288444e-15	1.3327566005187126e-08	2.8628554919616937e-09	1.4330665870970057e-09	1.4292698017261033e-09	1.4457501825416552e-09	1.4565149006971504e-09	8.577335625366626e-09	2.8581940949288444e-15	7.044836531346721e-09	1.429030177865926e-09	2.9797167816094998e-09	2.1345070202910152e-09	1.4290624888791388e-09	2.8581940949288444e-15	1.662565167890825e-08	2.8581940949288444e-09
n1	0.005643110806808753	0.01542902709188802	1.1286214560551604e-08	0.005643457713466544	0.028757145482090147	0.005768311717399214	0.018436359194169274	0.017595433752447997	0.005650496514786787	0.005643639036258924	0.016934583174978306	0.005642790464757728	0.006278912614014231	0.01695778450679235	0.005644889604587324	0.005716922445771096	0.019924999624639044	0.01692584457180533	0.022574438533395674	0.007452808528461332	0.02894106324198187	0.07627519167625302	0.0056618480402960214	0.005657318019058374	1.1286214560551604e-08	0.05262685615764673	0.011304621122638484	0.0056587818896662	0.032252423079984924	0.005708865884955933	0.005751446199318398	0.033869515858810435	1.1286214560551604e-08	0.02781810492942613	0.005642843230805705	0.011766073894907522	0.3758647789286459	0.005642972387472652	1.1286214560551604e-08	0.06565008037420389	0.011286214560551604
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	0.00034334454242448563	0.0009387503503435662	6.866886557183428e-10	0.0003433659488641343	0.001749766539757138	0.00035096215810304765	0.0011217258579891698	0.0010705613193356786	0.00034379391203869533	0.00034337668155927706	0.0010303530996320141	0.0003433250518104086	0.0003820287164627188	0.0010317647413537608	0.00034674536034771697	0.00034793864485161113	0.0012122994059722326	0.0010298214156352666	0.0013735193597315058	0.0050643030712017745	0.0010987924744960827	0.0046408216462495815	0.000344484574417163	0.00034377312899594816	6.866886557183429e-10	0.0032019828185696655	0.0006878085686269646	0.00034429802020601236	0.0009639604037625225	0.0003473452874021118	0.00035012310825613787	0.0020607274644777736	6.866886557183429e-10	0.0016925465509823017	0.0003433282622620935	0.0007158848011110154	0.9590719886067414	0.0003433401194154394	6.866886557183428e-10	0.003994356584140637	0.0006866886557183428
n467	0.006679888493267197	0.018263717311568204	1.3359768637647518e-08	0.0066802990244733	0.03404050363870672	0.0068280918780015045	0.021823569987369545	0.02082814594305129	0.006688631136717965	0.0066805137714066485	0.020045880926585102	0.006679509296534434	0.007432502666787589	0.02007334491138337	0.006680777289122218	0.006767223010442776	0.02358571013002089	0.020035536827952137	0.02672190855248738	0.007118084604536045	0.09964023163938816	0.09028881279190873	0.006702068215525398	0.006685768548528704	1.3359768637647518e-08	0.06229569875894272	0.013381556936069091	0.006698438737917751	0.13677132761857325	0.006757724389978505	0.006808058605974583	0.0400921755753619	1.3359768637647518e-08	0.03292897004960701	0.0066795717569979604	0.013927789886155239	0.09893681357138961	0.006679723165089588	1.335976863764752e-08	0.07771160827545545	0.013359768637647521
n3	0.00028673518001134544	0.0007839727079706747	5.734700016455139e-10	0.00028675292296344914	0.0014612305387162532	0.0002930968317429444	0.0009367798991144472	0.0008940511779953897	0.0002871104592463443	0.0002867620201659458	0.0008604723389864617	0.00028671890293673	0.0003190412522969786	0.0008616512345073816	0.0002881015796096448	0.00029052564652898505	0.0010124200196819722	0.0008600283170560703	0.001147049773835495	0.010193207668690593	0.0007377234652752731	0.0038756603519643574	0.00028768724779821295	0.000286974676663733	5.734700016455139e-10	0.0026740518820908246	0.0005744052675075635	0.0002875314519467966	0.0005337380611215476	0.00029007629713887764	0.00029231237819807494	0.0017209624370578586	5.734700016455139e-10	0.0014134831786170668	0.0002867215840611635	0.0005978523959183063	0.9603091268321813	0.00028672969643496514	5.734700016455139e-10	0.0033357820284414985	0.0005734700016455139
n5	2.7647601427645495e-06	7.559227632710763e-06	5.5295168299807815e-12	2.7658654826214054e-06	1.4375509309258506e-05	2.8261005096801395e-06	9.03262629828539e-06	8.62062709715293e-06	2.7683786630700245e-06	2.7650189411076585e-06	8.296852959188767e-06	2.764603195830788e-06	3.076261999707494e-06	8.308220114584883e-06	1.3047051596872534e-05	3.123084288652381e-06	9.761964046554298e-06	8.292571607540146e-06	1.1121812247299894e-05	1.522896729026186e-05	6.620569306260552e-06	3.736992184767021e-05	2.773940178050314e-06	2.766745078988005e-06	5.529516829980783e-12	2.5783763481673777e-05	5.538534857619318e-06	2.7724379621018318e-06	4.403421490666668e-06	2.796975887850224e-06	3.402078160921366e-06	1.659387715516194e-05	5.529516829980783e-12	1.3647461093149934e-05	2.7646290477892786e-06	5.764616938268526e-06	0.9996900305030596	2.7771791299505694e-06	5.529516829980783e-12	3.2164302953054034e-05	5.529516829980782e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n468	2.8775191360539967e-07	7.867525949346109e-07	5.755034675628536e-13	2.8776959708258805e-07	1.4663744433284266e-06	2.941361231027703e-07	9.401016247346752e-07	8.972213919448452e-07	2.8812852354214695e-07	2.877788489324405e-07	8.635234858103964e-07	2.8773557881394393e-07	3.2017253991605156e-07	8.64706561574145e-07	2.877778850969423e-07	2.9151366752041483e-07	1.0160099574261407e-06	8.630778894236962e-07	1.1511090094506601e-06	2.893819887026232e-07	0.9999698545030489	3.889403046805049e-06	2.887073573271723e-07	2.8789451243669993e-07	5.755034675628536e-13	2.6835337963109704e-06	5.76442049781903e-07	2.8855100903961624e-07	7.71238359103717e-07	2.911048779922222e-07	2.932724429489902e-07	1.7270647936776247e-06	5.755034675628536e-13	1.4184928397046065e-06	2.8773826944537027e-07	5.999723193096108e-07	7.601967360863142e-07	2.8774477674798247e-07	5.755034675628536e-13	3.3476103700165528e-06	5.755034675628536e-07
