node	human	monkey	mosquito
root	0.2231231468450006	0.19251735213690624	0.5843595010180931
n0	2.2075006196438494e-07	2.0780508232041902e-07	0.9999995714448557
n1	0.9474284024714832	0.025426833591303537	0.027144763937213275
HQ234499	0.0	0.0	1.0
KX377336	0.0	0.0	1.0
n2	0.9949777900748606	0.002465593664129514	0.0025566162610099704
n467	0.9639491355365863	0.017814840633118126	0.01823602383029555
n3	0.9975499791331903	0.0012171101504592215	0.0012329107163504573
n5	0.9995213036541933	0.00023858696613403556	0.00024010937967265225
KU681082	1.0	0.0	0.0
n468	0.9999853881704838	7.294768036204137e-06	7.3170614799590144e-06
n4	0.9999882538280793	5.8718708692856735e-06	5.874301051397676e-06
MG645981	1.0	0.0	0.0
n6	0.9997588470835974	0.00012054428935938116	0.00012060862704314861
n11	0.9997096779081356	0.00014508961940841276	0.00014523247245602788
KY120353	1.0	0.0	0.0
KY553111	1.0	0.0	0.0
KU955593	1.0	0.0	0.0
J860885	0.9999235688260921	3.821437198081365e-05	3.821680192712699e-05
n7	0.999761949793129	0.00011901875116000051	0.0001190314557110346
n9	0.9978827671894871	0.001058612211968441	0.0010586205985444602
KU179098	1.0	0.0	0.0
n12	0.9998246892106653	8.763401359920258e-05	8.767677573562182e-05
n8	0.9991806386846432	0.00040967839795374956	0.00040968291740306034
KX051561	1.0	0.0	0.0
n10	0.999999981575807	9.212090916186569e-09	9.212101883965247e-09
KY272987	1.0	0.0	0.0
n13	0.9998593572739236	7.031791588169664e-05	7.032481019469283e-05
KX051560	1.0	0.0	0.0
KY328290	1.0	0.0	0.0
KX051562	1.0	0.0	0.0
KF993678	1.0	0.0	0.0
KX694532	1.0	0.0	0.0
n14	0.9998676979723397	6.61492561726706e-05	6.615277148773046e-05
n464	0.9994983995570076	0.00025080021484455135	0.00025080022814792235
KU681081	1.0	0.0	0.0
n15	0.999924209612674	3.789513788668952e-05	3.7895249439377135e-05
MK238035	1.0	0.0	0.0
n465	0.9999605009025274	1.9749548554820955e-05	1.9749548917767482e-05
n16	0.9995294453852492	0.00023527729368647143	0.0002352773210642987
n345	0.9998349546939371	8.252264523895984e-05	8.252266082390495e-05
n466	0.99999898582536	5.070873195835131e-07	5.070873205310029e-07
MK238036	1.0	0.0	0.0
LC219720	1.0	0.0	0.0
