node	Angola	Argentina	Australia	Brazil	Cambodia	Canada	Cape Verde	China	Colombia	Cuba	Dominican Republic	Ecuador	El Salvador	French Guiana	French Polynesia	Guatemala	Guinea	Haiti	Honduras	India	Indonesia	Italy	Jamaica	Japan	Martinique	Mexico	Micronesia	Nicaragua	Nigeria	Panama	Peru	Philippines	Portugal	Puerto Rico	Russia	Singapore	South Korea	Suriname	Taiwan	Thailand	USA	Venezuela	Vietnam
root	0.004786744581180749	0.00465375198774201	0.0046536903045676075	0.005710274999271266	0.006721369499568283	0.02799679735666528	0.0046931394753030355	0.019257129430167413	0.0146923539505666	0.01504146381301846	0.014927689354817092	0.004672127524492764	0.0046535749940339695	0.004653640749322803	0.004877734900670489	0.014306408740019537	5.39226746629979e-09	0.014212888823557089	0.04368662787240804	0.004737998799626015	0.004656566618781079	0.018716948175263336	0.015640670836499504	0.02333117739897908	0.004739166278814393	0.02988886646392718	0.10919054940449228	0.010850430520836452	5.39226746629979e-09	0.009498517257416749	0.004672700689046267	0.03922157193241975	0.004653636241323678	0.00484380961900954	0.028071992762825976	0.004757814813486941	0.02914489989001688	0.009121358229912188	0.009327233974006149	0.3883205631931658	0.01767216150331356	0.00935159397123946	0.005392352283690256
n2	0.0044571677423199795	0.00433333195217293	0.004333274516007175	0.0053171112631729255	0.006625337286021759	0.026069163859128455	0.004370007533255372	0.017931238008260582	0.01368075630036216	0.014005829257787926	0.013899888396228528	0.00435044229684753	0.004333167144832013	0.004333228372739061	0.00454189686242617	0.013321384181466079	5.020999178281697e-09	0.01323430329635688	0.04067871707405843	0.004411829013639241	0.004336468369476967	0.017428249246773084	0.014563779691686466	0.02172477965572618	0.004412865300243707	0.02783095884858437	0.091983691339133	0.01010335690312243	5.020999178281697e-09	0.008844525543743218	0.004350975997887055	0.04272229756700751	0.004333224175124598	0.004510303739344916	0.026139180497958395	0.004430229849215699	0.030684072758021437	0.008493334661796593	0.008685035841369064	0.4300103758215548	0.01645539820514268	0.008707718216625743	0.005021093371380319
EU545988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n10	0.0002550758722734769	0.00024798896775998395	0.0002479856807892153	0.00030428892782101554	0.005430544384283865	0.0014919118933151322	0.0002500878467738754	0.0010261739802507708	0.0007829256264112114	0.0008015289801465065	0.0007954661709290993	0.0002489681626983622	0.0002479795361256676	0.0002479830400911208	0.00025997523977028996	0.0007623593919776731	2.873429538951959e-10	0.0007573759060485477	0.0023279714474534426	0.00025318103789895616	0.00025526977936080373	0.0009973880580285929	0.0008334595023614784	0.0012432709419760634	0.0002525405214162152	0.0015927168360988745	0.002445958918828396	0.0005781973495152333	2.873429538951959e-10	0.0005061566443853553	0.00024899870547037803	0.0012106498536785242	0.0002479827998690284	0.00025811675194725877	0.0014958993359671295	0.00025353430290007994	0.00105023756113466	0.000486058607756292	0.0004970346726069191	0.9670791573684347	0.0009417135036069833	0.0004983274016205967	0.0002875579155323028
n3	0.005996656748150511	0.005830048540970599	0.00582997126656881	0.0071536215328473944	0.006528917188469399	0.035073345991835744	0.005879391730077523	0.024124619943066167	0.018406038168459656	0.01884339010504495	0.01870085766760871	0.005853068734463008	0.00582982680979287	0.005829909185589112	0.006110627161612638	0.017922540268792777	6.755233445450015e-09	0.017805381972871466	0.05472899324208242	0.005935327803465119	0.005830915694691665	0.023447901110338787	0.01959405452424604	0.029228436991424914	0.005937052408894044	0.0374436675564724	0.031687243107220375	0.013593018449098495	6.755233445450015e-09	0.01189939146388746	0.005853786773838052	0.18090680201433398	0.00582990353813442	0.006068145719073432	0.03516755531453653	0.005960414589538064	0.11185870318416125	0.011426900569699578	0.011684812094378803	0.1335891237203238	0.022139030971046685	0.011715331399563295	0.006755261232862392
n18	1.5348074004038118e-06	1.4921650548290826e-06	1.4921452769222768e-06	1.8309254188491808e-06	1.4634846218186306e-05	9.024246990652193e-06	1.5047941404982124e-06	6.176397961621321e-06	4.710912226513534e-06	4.82284976388531e-06	4.7863694634508726e-06	1.49805693172227e-06	1.4921083040983263e-06	1.4921293876765714e-06	1.6868442338188394e-06	4.587163913802868e-06	1.7289604389528886e-12	4.557177968775422e-06	1.4007549101506453e-05	3.22282797568191e-06	1.878057358207065e-05	6.001346026547902e-06	5.014977703535225e-06	7.480847854780946e-06	1.5195520364853716e-06	9.583476339821971e-06	7.06425580701898e-06	3.479049441330184e-06	1.7289604389528886e-12	3.0455760344644254e-06	1.4982407094825927e-06	3.932598594840331e-06	1.4921279422452766e-06	1.5531045626773723e-06	9.000919415223852e-06	1.525626097710671e-06	4.4026926168050325e-06	2.9246448970858117e-06	3.003664379558563e-06	0.9998132384198525	5.666348767187922e-06	2.99846699342574e-06	2.239169154514543e-06
n11	0.00025133082578342956	0.00024434797182806074	0.0002443447331168873	0.0002998213309019522	0.01221719158985031	0.0014699963405327078	0.0002464160349148539	0.0010111071676255088	0.0007714306432008267	0.000789760860853159	0.0007837870663362687	0.0002453127901398499	0.0002443386786698306	0.00024434213118975555	0.00025612932913776827	0.0007511663640380506	2.831241592623162e-10	0.0007462560460895824	0.002293791965009612	0.0002490626406931644	0.0002474510719370187	0.000982744318451647	0.0008212225763202445	0.0012250171260014468	0.0002488326991714263	0.001569332426811143	0.0011816599680795892	0.0005697082049518654	2.831241592623162e-10	0.0004987252078187633	0.0002453428844801889	0.0006548668244269781	0.0002443418944946231	0.0002543270589932105	0.001473936409769149	0.0002498118675795757	0.0007271843024552266	0.0004789222523389424	0.0004897341025239248	0.9627747898011065	0.0009278871827563295	0.0004910109146879058	0.00028321582868450927
n5	5.172983191942824e-06	5.029259531980633e-06	5.029192871639978e-06	6.171032544484573e-06	5.112229962071038e-06	3.0255828354686775e-05	5.071825164566732e-06	2.081097155460682e-05	1.5877868298042337e-05	1.6255147557459072e-05	1.6132192728771955e-05	5.049117776167777e-06	5.029068256791149e-06	5.029139317821908e-06	5.271293952222549e-06	1.5460781475607723e-05	5.827365236761447e-12	1.5359715511513018e-05	4.7211667107770045e-05	5.120006084948365e-06	5.029276687142771e-06	2.022720382778788e-05	1.690270411879056e-05	2.521375153375143e-05	5.121565834223348e-06	3.2300575312079835e-05	7.263340600591288e-06	1.1725943124332109e-05	5.827365236761447e-12	1.0264945055596712e-05	5.049737188912954e-06	2.0156435825578485e-05	5.029134446075921e-06	5.2346527622592535e-06	3.033709951798144e-05	5.141719087757361e-06	0.9994873458433773	9.857353366321885e-06	1.0079838784491572e-05	1.823789821652636e-05	1.9098114150763815e-05	1.010616664638545e-05	5.8273676376987705e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n32	3.151380981812609e-06	3.0638245386857863e-06	3.0637839292153004e-06	3.759392574312912e-06	9.030009120836812e-06	1.8453341129811787e-05	3.0897555189409683e-06	1.2686426512112505e-05	9.672796204733737e-06	9.902634701949443e-06	9.827730629314888e-06	3.075922179590754e-06	3.0637080138543565e-06	3.063751304229092e-06	3.768127998833183e-06	9.418706943041889e-06	3.55003047560819e-12	9.357137565114528e-06	2.876134414564301e-05	1.0840683488931339e-05	8.141723674624264e-05	1.2322411091035782e-05	1.0297126111704362e-05	1.5360257439055156e-05	3.1200575312542172e-06	1.9677508115363574e-05	5.588208893408953e-06	7.143443692875809e-06	3.55003047560819e-12	6.253403776363247e-06	3.076299525789768e-06	4.16939739206677e-06	3.0637483363617936e-06	3.1889500795344907e-06	1.8481358805346736e-05	3.132763885784953e-06	6.8068783318956555e-06	6.005098949097192e-06	6.1995946039101885e-06	0.9996039921822096	1.1634569742454438e-05	6.156675981096062e-06	5.862364178764072e-06
