node	Angola	Argentina	Australia	Brazil	Cambodia	Canada	Cape Verde	China	Colombia	Cuba	Dominican Republic	Ecuador	El Salvador	French Guiana	French Polynesia	Guatemala	Guinea	Haiti	Honduras	India	Indonesia	Italy	Jamaica	Japan	Martinique	Mexico	Micronesia	Nicaragua	Nigeria	Panama	Peru	Philippines	Portugal	Puerto Rico	Russia	Singapore	South Korea	Suriname	Taiwan	Thailand	USA	Venezuela	Vietnam
root	0.0027744342702564553	0.002743252553042109	0.0027432581365754052	0.014074294535224137	0.0038767069231987663	0.016409419153484657	0.0027442150963474443	0.01567630373839762	0.017335457466077696	0.008626954026634135	0.014593246683792003	0.0027438376586421363	0.0027435475507950153	0.002743896495487059	0.0028169521538156804	0.008338888033035563	3.0099338087314275e-09	0.00827584344347316	0.0030650239941447457	0.002752054851046407	0.002743626779556268	0.010980008299565486	0.010971442620269145	0.013606702268044299	0.0027805864459961127	0.036178499908569355	0.11471386998319842	0.03445985593679928	3.0099338087314275e-09	0.005614640783013476	0.002743374250815982	0.047295740917132685	0.002743899501035798	0.005653253088889704	0.0164237310078673	0.011519204068357894	0.03175290557317067	0.005582773636505742	0.00551555329687086	0.45303519497511313	0.04207815615985497	0.0055194487589590386	0.00300993895707659
EU545988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n0	0.002670523297580139	0.002640509430186636	0.002640514804599687	0.013547169545972574	0.0038224381647326625	0.015794836685772324	0.002641435923327737	0.015089178654904133	0.01668619204054555	0.008303848450210241	0.01404668536364291	0.002641072621808499	0.002640793379379564	0.002641129255035246	0.002711448814335139	0.008026571401194244	2.8972026645447955e-09	0.007965888022597857	0.002950229555537127	0.002648984134743888	0.0026408937158479634	0.010568773708559511	0.01056052883991522	0.013097090026461504	0.0026764450556912237	0.0348235054306782	0.10599088313712372	0.033169229884826686	2.8972026645447955e-09	0.005404355467824836	0.002640626570010014	0.04910124100514834	0.002641132148017075	0.005441521625812867	0.015808612501619933	0.011087774964006763	0.03266934287447835	0.0053736818425425045	0.005308979111185057	0.47217378836913104	0.04050220167361216	0.005312728673596373	0.00289720803339932
n00	0.0037521605119211765	0.003709990182178693	0.0037099977333805265	0.019034155090412216	0.004098007135302055	0.02219219055397447	0.0037112919311586604	0.021200721270798507	0.02344457018053392	0.011667141147987583	0.01973598889498565	0.0037107814822831004	0.003710389138798941	0.0037108610535631016	0.003809661221527382	0.011277559078015533	4.070651412323648e-09	0.011192297220496576	0.004145155688931781	0.003721868278490758	0.003710193151657257	0.014849424981471335	0.014837840708613236	0.01840178067829477	0.0037604807489944473	0.04892800676259307	0.03755703418611159	0.04660370298864533	4.070651412323648e-09	0.007593271774536588	0.0037101547669325685	0.20303686150018513	0.0037108651182841215	0.007645491274178804	0.022211546190437886	0.015578636340569054	0.12481468518180963	0.007550174466362526	0.007459265265519099	0.1580638662028687	0.056906735059492536	0.007464533545797115	0.004070653170601931
n2	6.373316671399657e-05	6.30168730886778e-05	6.301700135131578e-05	0.0003233089244937911	0.0025488104922345104	0.000376950888476801	6.303898423890617e-05	0.00036010978754073684	0.0003982230224711	0.00019817485139506812	0.0003352300805131786	6.303031389466539e-05	6.302364965612718e-05	6.303166547054758e-05	6.47114068423276e-05	0.00019155751747893473	6.914296557194798e-11	0.0001901092830117961	7.040847472777579e-05	6.327532570572713e-05	6.367675764457631e-05	0.0002522282495496236	0.0002520314822762141	0.00031256758663077437	6.387449197308557e-05	0.0008310776690060225	0.0012349188099441424	0.0007915976842217002	6.914296557194798e-11	0.00012897722642026232	6.301966868005083e-05	0.0005898379374858082	6.303173451278112e-05	0.0001298642124822511	0.00037727921602319543	0.0002646145010206145	0.0004370574578718393	0.00012824518739419844	0.00012670110545035058	0.9871640902402132	0.0009666021539251416	0.00012679051426638474	6.915426541589527e-05
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	8.924531433726851e-07	8.824229105998144e-07	8.82424706656724e-07	4.527282744944157e-06	8.935111805879961e-07	5.278422951517964e-06	8.827325322072492e-07	5.042601525020255e-06	5.5763020494893364e-06	2.7750350121250497e-06	4.694214245616037e-06	8.826111217020011e-07	8.82517802619673e-07	8.826300477683926e-07	9.061296634790712e-07	2.6823727334609172e-06	9.682063539021158e-13	2.6620931605293143e-06	9.859272311520049e-07	8.852462644712876e-07	8.824496865962105e-07	3.5319427193708946e-06	3.5291873946205137e-06	4.376872193452089e-06	8.944321156757236e-07	1.1637549431988022e-05	1.827272873303619e-06	1.1084712685632905e-05	9.682063539021158e-13	1.8060632646545546e-06	8.824620571609705e-07	6.446313147729787e-06	8.826310145641996e-07	1.8184836972168016e-06	5.283026713234676e-06	3.705385982047282e-06	0.9998731145852235	1.7958125496255348e-06	1.7741897509132133e-06	5.350751603943516e-06	1.3535293711866555e-05	1.775442816369961e-06	9.682064029819613e-07
n22	6.338738512749335e-05	6.26749777227868e-05	6.267510528954129e-05	0.0003215548256688608	0.005464767496934237	0.00037490551952444	6.269696890990962e-05	0.0003581559380196966	0.000396062480392435	0.00019709966216387972	0.00033341130396307203	6.26883456062529e-05	6.268171752425757e-05	6.268968984921761e-05	6.435948402489883e-05	0.00019051823031158397	6.876783335172904e-11	0.00018907785317897767	7.002647654143282e-05	6.290150705479462e-05	6.297789439819841e-05	0.0002508597959047329	0.0002506640961838	0.0003108717644693888	6.352794363239736e-05	0.0008265686924446369	0.0005990045338396712	0.0007873029046393399	6.876783335172904e-11	0.00012827746596155931	6.267775814679767e-05	0.0003037758724582774	6.268975851686544e-05	0.00012915963971837742	0.0003752323036760244	0.0002631788097746059	0.000268167216200171	0.00012754939858211	0.00012601365267460028	0.9853829318758968	0.0009613578950324127	0.00012610261772150836	6.877300478425719e-05
n33	8.598061906832045e-08	8.501428752518571e-08	8.501446056069589e-08	4.3616695845405397e-07	1.5724088412962466e-06	5.095323546313712e-07	8.504411705481634e-08	4.861882210963446e-07	5.372314567856468e-07	2.6735210699923305e-07	4.522494540745307e-07	8.503242013775112e-08	8.502342960135259e-08	8.503424351068328e-08	9.079968556132094e-08	2.5842484830449137e-07	9.327882624715196e-14	2.5647107599941444e-07	9.498608898435418e-08	2.13451173380581e-07	1.5689722176884839e-06	3.40274023101896e-07	3.400085699186883e-07	4.2167615739331386e-07	8.617127699249032e-08	1.121183461597897e-06	7.86227369740834e-07	1.0679221267610949e-06	9.327882624715196e-14	1.739995412921118e-07	8.501805897872095e-08	4.002364689781973e-07	8.50343366536148e-08	1.7519614919105714e-07	5.08976757750859e-07	3.571372313760274e-07	3.567951871317937e-07	1.7301196807257305e-07	1.7110227628276124e-07	0.999984415829574	1.3040157248141871e-06	1.7104950955183543e-07	1.1875598313070904e-07
n11	4.4323662770646555e-10	4.3825511513925456e-10	4.3825600715046397e-10	2.248473829067737e-09	4.4116032230386187e-10	2.6215274220265617e-09	4.3840888863219767e-10	2.504406770551296e-09	2.769469001081401e-09	1.3782204361938539e-09	2.331380316613028e-09	4.383485901355047e-10	4.3830224323689275e-10	4.3835798976158624e-10	4.5002906632923827e-10	1.3321997389553709e-09	4.808594405368704e-16	1.3221278941932337e-09	4.896605097364743e-10	4.396572736270857e-10	4.382677245386377e-10	1.7541384573650582e-09	1.7527700260253695e-09	2.173772466749786e-09	4.442194837997373e-10	5.779785979024364e-09	6.798418513284573e-10	5.5052197489132436e-09	4.808594405368704e-16	8.969808631350446e-10	4.3827455726894164e-10	1.8607718898931623e-09	4.3835846992047913e-10	9.031494678225031e-10	2.6238138795814125e-09	1.8402790097900164e-09	0.9999999395866077	8.918898481111383e-10	8.811508905245527e-10	1.6242956642245865e-09	6.722300195158773e-09	8.817732252469276e-10	4.808594530851657e-10
