node	AUS	BRA	CAF	CAN	CHN	COL	CUB	DOM	ECU	GBR	GTM	GUF	HND	HTI	IDN	IND	ITA	JAM	JPN	KHM	KOR	MEX	MTQ	MYS	NGA	NIC	PAN	PER	PHL	PRI	PYF	RUS	SEN	SGP	SLV	SUR	THA	TWN	UGA	USA	VEN
root	0.008592496865216485	0.05925555910673392	1.7180089930350325e-08	0.008591903721121511	0.04353019065735583	0.008752920563439357	0.03627191379728094	0.07114075788968902	0.008596402681168938	0.008590026294361943	0.025763419403988165	0.008591073152042624	0.08133232076772916	0.025950857889196405	0.008591946511846828	0.008667383204598004	0.025988742394818767	0.02504591216082365	0.03435303150290344	0.008592733601735292	0.017212439940420814	0.02649650208575242	0.008736367893834095	0.06687894678312735	1.7180089930337705e-08	0.07833624901868076	0.01721498606788606	0.008605389353608425	0.008598272875039153	0.008834639487884965	0.008800619018692122	0.05153570178925523	1.7180089930337705e-08	0.03579865436949979	0.008591293013846429	0.017654139677612538	0.012841589856221153	0.008592605682480542	1.7180089930350328e-08	0.09189185226939786	0.017180089930350327
n0	1.843381365961378e-09	1.2712322762566914e-08	3.685710700850003e-15	1.8432541160786157e-09	9.33869904976826e-09	1.8777976783093957e-09	7.781553028239656e-09	1.526210012192057e-08	1.8442192956642998e-09	1.8428513449037062e-09	5.527125351073729e-09	1.8430759313041026e-09	1.744853526342813e-08	5.567337249467968e-09	1.8432632366739393e-09	1.8594470135202833e-09	5.575464758016225e-09	5.373195765443504e-09	7.3698878360845314e-09	1.8433510954660688e-09	3.6921140688041827e-09	5.6843963953895745e-09	1.874246570501516e-09	0.9999997998345579	3.6857107008472946e-15	1.680577647981583e-08	3.693197103310945e-09	1.8461472410306821e-09	1.8434674211868002e-09	1.8953291531452203e-09	1.8880306067751654e-09	1.1056152111573921e-08	3.6857107008472946e-15	7.680022864721565e-09	1.84312309910161e-09	3.787410414489624e-09	2.736124086826128e-09	1.8434047107796983e-09	3.685710700850003e-15	1.971391212754502e-08	3.6857107008500032e-09
n1	0.005239160310546015	0.03613028649541333	1.04753305944249e-08	0.005238806939070548	0.026541962971508	0.005336976519941737	0.022116315447671914	0.0433771278645011	0.005241541829706184	0.005237653912933223	0.015708901210279874	0.005238292220435389	0.04959129733940803	0.015823189325571158	0.005240061961881346	0.005284956655958344	0.015846288897366743	0.015271410742737874	0.02094632225508313	0.006914543125433528	0.02158920137837441	0.016155888593678964	0.0053268837505186205	0.005248234387696623	1.0475330594417207e-08	0.04776448256817368	0.010496608048654607	0.005247021333313504	0.029073720863162452	0.005386803543715129	0.00536615101645201	0.031423206505132355	1.0475330594417207e-08	0.02182775499374699	0.005238426278236557	0.010764376102388312	0.3970217112222833	0.005239230120653336	1.04753305944249e-08	0.05602983077262435	0.010475330594424898
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	0.00032977807182152445	0.002274214856688175	6.593679369131369e-10	0.00032977573132618416	0.0016707035791892148	0.00033593509680550864	0.0013921077867091575	0.002730366077845362	0.00032992797614775577	0.00032968325187501135	0.0009887941663346785	0.00032972343003426143	0.003121515938879692	0.0009959880126876911	0.00033280503644420934	0.00033298576929899647	0.0009974420113812057	0.0009612564018314882	0.0013185100111660923	0.004456995423940909	0.0009440378087478941	0.001016929712622345	0.00033529980911770996	0.00033003102135592365	6.593679369126526e-10	0.0030065273878288725	0.0006607072427204089	0.0003302728825883018	0.000938824495552392	0.00033907145050545475	0.0003379899448823393	0.0019779284918713435	6.593679369126526e-10	0.0013739520007903846	0.0003297318682801943	0.0006775618581972324	0.9593266756952832	0.00032979077301974495	6.593679369131369e-10	0.0035267883518444476	0.0006593679369131366
n465	0.00653342767182914	0.04505581039486227	1.3063126669250864e-08	0.006532978488382879	0.033098804184392705	0.00665540812124069	0.027579867532181602	0.05409289098177412	0.006536397514754321	0.006531549138006028	0.01958958378400469	0.006532345131190163	0.061842191327302544	0.019732105312407294	0.006533281135855319	0.006590398329012672	0.019760911337157645	0.019044016907372407	0.02612082230856411	0.006901813830188502	0.07599662123125883	0.020146993667756408	0.006642822062573687	0.00653600247474081	1.3063126669241269e-08	0.05956408539615479	0.013089660445659776	0.006543230659451933	0.14167074292657206	0.006717544272194247	0.006691696323873886	0.03918590666236702	1.3063126669241269e-08	0.027220018665399272	0.006532512306251789	0.013423577162881452	0.0953060103479809	0.0065335111731253705	1.3063126669250864e-08	0.06987128186952128	0.013063126669250863
n3	0.00030502057036113693	0.0021034822263327623	6.098670632775037e-10	0.0003050071546040972	0.001545264832591265	0.0003107153676591484	0.0012875977737417707	0.0025253887068934474	0.00030515922088706173	0.00030493286885327915	0.0009145622051802917	0.0003049700307087743	0.002887173688685543	0.000921215986329434	0.0003061412108071196	0.0003078037003278159	0.0009225608286603704	0.0008890917893068542	0.0012194985089305263	0.010510132148118375	0.0007169799339450552	0.0009405855254352891	0.00031012777306316605	0.0003051347372775282	6.098670632770557e-10	0.00278081769832877	0.0006111058230863827	0.00030547823409080656	0.000532845114531737	0.00031361626519041196	0.00031249245233650136	0.0018294390327162492	6.098670632770557e-10	0.0012708007026835618	0.0003049778354684209	0.00062669510832164	0.9564862668227994	0.0003050276220284921	6.098670632775037e-10	0.003262020996971877	0.0006098670632775036
n5	1.9452762641393053e-06	1.3415010147648222e-05	3.8894423447750856e-12	1.9971962395886203e-06	9.918062439223788e-06	1.981594975224872e-06	8.211686785175017e-06	1.610572920731542e-05	1.946160511174621e-06	1.944716945456727e-06	5.832643180700064e-06	1.9449539461132255e-06	1.8413021915210967e-05	5.87507783525455e-06	9.713661712605447e-06	2.81240089018554e-06	5.883654600625155e-06	5.6702049707977496e-06	7.900849633789084e-06	1.14975569962052e-05	4.552385698383788e-06	5.998607552029582e-06	1.977847576093507e-06	1.94598889492071e-06	3.889442344772229e-12	1.7734733944893254e-05	3.897342566226243e-06	1.948195025805596e-06	3.3549027922237385e-06	2.0000955212870166e-06	2.563781296052826e-06	1.1667292873288413e-05	3.889442344772228e-12	8.12443176915709e-06	1.945003721161737e-06	3.996763620042355e-06	0.9997686230624334	1.9670276811934982e-06	3.8894423447750856e-12	2.0803619934783687e-05	3.889442344775087e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
