node	AUS	BRA	CAF	CAN	CHN	COL	CUB	DOM	ECU	GBR	GTM	GUF	HND	HTI	IDN	IND	ITA	JAM	JPN	KHM	KOR	MEX	MTQ	MYS	NGA	NIC	PAN	PER	PHL	PRI	PYF	RUS	SEN	SGP	SLV	SUR	THA	TWN	UGA	USA	VEN
root	0.0077030960185222016	0.09144776072752325	1.5424565429717848e-08	0.007703504351428518	0.039044885652118826	0.00784931207310028	0.03248726952043358	0.06366917631338491	0.007713217004786677	0.007704087078212674	0.02312463479853314	0.0077031134607318825	0.07227063524709595	0.02329441238159002	0.007703102656484521	0.007785386753960421	0.023323483965044117	0.02235226980655008	0.03078103018536821	0.007703391433463407	0.015428220171338224	0.025419012381840064	0.007836536384686	0.06295743031322047	1.5424565429717848e-08	0.07019081093739234	0.015431731733683434	0.007719810314843497	0.007705402994144769	0.007835549427199754	0.040082720763606236	0.04624833834407493	1.5424565429717848e-08	0.031017997291986208	0.0077023710209674825	0.015790831379796182	0.04181152907391734	0.007702837871628974	1.5424565429717844e-08	0.0823304730393619	0.015424565429717848
n0	1.4058349143208491e-09	1.66894524696009e-08	2.815023020307229e-15	1.4059093352818529e-09	7.125792355354244e-09	1.4325197218705008e-09	5.92901057625575e-09	1.1619789084032358e-08	1.407682020477957e-09	1.406015785302863e-09	4.220305563270522e-09	1.4058380975985392e-09	1.3189577550161402e-08	4.25129041057886e-09	1.4058333809574918e-09	1.4208517925056618e-09	4.256596049628007e-09	4.079346957829183e-09	5.617616963421853e-09	1.4057853995697014e-09	2.815487138338724e-09	4.63903518089757e-09	1.4301881257454533e-09	0.9999998289952715	2.815023020307229e-15	1.28100042431086e-08	2.8163308892858114e-09	1.4088853165886024e-09	1.4057936681072093e-09	1.4300080034556875e-09	7.315197645782225e-09	8.440441170465438e-09	2.815023020307229e-15	5.660855817877505e-09	1.405702600424405e-09	2.881867501970144e-09	7.62353704785148e-09	1.4057876237865101e-09	2.815023020307229e-15	1.5025523923809306e-08	2.8150230203072292e-09
n1	0.005144148070396731	0.06106904239068824	1.0300563213223326e-08	0.005149096911935317	0.02607881783470719	0.005241790153355747	0.02169507950451028	0.042518434528231584	0.005150905527752531	0.005144808540045739	0.015442688716926249	0.005144158355866994	0.048262510228538405	0.015556066609770887	0.0052714237549037375	0.0052637169400459845	0.015575480685612559	0.014926901451485747	0.020580146012882237	0.009940127899740425	0.019710222362816297	0.01698488964759304	0.005233258516811212	0.005151571485948435	1.0300563213223326e-08	0.04687359837412563	0.010305348888861258	0.005155308556630984	0.026580460350042433	0.0052325994241436006	0.02687840886139989	0.030884755540785312	1.0300563213223326e-08	0.021121133137709372	0.005143662552743073	0.010545156526974934	0.3606109503265133	0.005152231950933722	1.0300563213223323e-08	0.054980494963094644	0.010300563213223321
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	0.0009851780763770405	0.011695557965310865	1.9726989226191667e-09	0.00099735307642284	0.005005365363844859	0.0010038746012301619	0.004154904841488952	0.008142862506549184	0.0009864689507527247	0.0009853012941079917	0.0029574863785230463	0.000985176774933422	0.009242931668873404	0.002979199797724856	0.0013151253739405225	0.0011632145016364402	0.002982917859126329	0.0028587060534308274	0.004000196875338535	0.013418121170284084	0.0026680686469866483	0.0032768721919557414	0.0010022406759902314	0.000986053644644899	1.972698922619167e-09	0.008976936027460733	0.0019736154450441575	0.000987312191082888	0.0025688359425214305	0.001002114450718041	0.00541425265442603	0.005914853656006838	1.9726989226191667e-09	0.005022743733736566	0.0009850818218451157	0.0020195418919335267	0.8678327601649493	0.0010065491683449131	1.972698922619166e-09	0.010529517749042119	0.0019726989226191666
n467	0.006121253557108709	0.07266882094853103	1.2257106948305387e-08	0.00612252846434191	0.031027881666685752	0.006237443640729834	0.025815958237836743	0.050594612012868	0.006129295906191857	0.006122040824228113	0.01837595510600456	0.006121267140610044	0.05742974798751449	0.018510868598539253	0.0061471266446161705	0.006199778707762922	0.018533970287152587	0.01776219646541273	0.024465076882212698	0.007096228502499005	0.06731690227479403	0.02020121318678588	0.006227291459785379	0.006125535461537908	1.2257106948305387e-08	0.05577701883194248	0.012262801640614905	0.0061345352697822295	0.1315727041914939	0.00622650717555271	0.031874246295084264	0.03675117019326675	1.2257106948305387e-08	0.024731174101846224	0.006120677162005047	0.012548159616342529	0.10084434662204865	0.006122726503807564	1.2257106948305387e-08	0.0654237824557299	0.012257106948305384
n3	0.0008846826233479441	0.0105025466009913	1.771472761423531e-09	0.0008892315066464401	0.004488584087709638	0.0009014738597834436	0.0037310816509354148	0.007312245657445198	0.0008858436815732277	0.0008847951323409437	0.0026558064698888263	0.0008846833148083768	0.008300101702985079	0.0026753050006744095	0.001007214280835107	0.0009563417672246809	0.0026786437993235536	0.0025671022823115872	0.00355870928510068	0.030948396435243847	0.002029878601275156	0.0029289470342670778	0.0009000066039221712	0.0008852911982874984	1.7714727614235317e-09	0.008061239082837091	0.0017722957935104291	0.0008866009067428116	0.0014727792690836879	0.0008998932543233425	0.004710331474997044	0.005311505987700741	1.7714727614235317e-09	0.0039544087005272495	0.0008845980474583421	0.001813537489727034	0.8646563669223002	0.000892601733658238	1.771472761423531e-09	0.009455448912897634	0.0017714727614235315
n5	8.140094678549069e-05	0.0009662436285397979	1.6297706936057681e-10	0.00011393941002303742	0.00044417927901393875	8.293639674968e-05	0.00034326282980825027	0.0006727331030127533	8.149840645496189e-05	8.14019389931531e-05	0.0002443365569468419	8.139165168072145e-05	0.0007636167376687313	0.00024613043911848626	0.000966885163703567	0.0005318258474632984	0.00024643761156328603	0.00023617569280816214	0.0004956740712678466	0.0004641304880049845	0.00018440004931206573	0.00033822231722514557	8.280140790566292e-05	8.144642452666548e-05	1.6297706936057684e-10	0.0007416411642028207	0.00016305278904446546	8.156807184393782e-05	0.000130141083361821	8.279097964177278e-05	0.0011962683316867264	0.0004886632742074992	1.6297706936057681e-10	0.0031610739419896715	8.138380700869295e-05	0.00016684706177121076	0.984703770800051	0.00013884086695416532	1.6297706936057684e-10	0.000869909708391093	0.00016297706936057682
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
