node	AUS	BRA	CAF	CAN	CHN	COL	CUB	DOM	ECU	GBR	GTM	GUF	HND	HTI	IDN	IND	ITA	JAM	JPN	KHM	KOR	MEX	MTQ	MYS	NGA	NIC	PAN	PER	PHL	PRI	PYF	RUS	SEN	SGP	SLV	SUR	THA	TWN	UGA	USA	VEN
root	0.009559417411649682	0.027690663723684304	1.912199560131944e-08	0.00955860398227536	0.038920308885092035	0.00979614509419532	0.029129091956438848	0.07804912981226318	0.009580324275731458	0.00955873308288208	0.019108649626702317	0.00955838946241164	0.08311081278025162	0.02894924377133715	0.009558922669522091	1.912199560131944e-08	0.02901811747720503	0.023410185108361452	0.03825134626687075	0.009558852856173385	0.0191243652585971	0.02581242887413364	0.009796183240312182	0.03856584892098258	1.912199560131944e-08	0.08710045229002303	0.019135864751240652	0.009594606464450534	0.009560586276649468	0.010075832925984601	0.019641372096053746	0.057322732420512036	1.912199560131944e-08	0.040360982825547384	0.009559126362610668	0.01982554780686996	0.01734006175649104	0.009559343383492977	1.912199560131944e-08	0.10613563489170336	0.01912199560131944
n0	3.2214830190560966e-08	9.331635928307838e-08	6.444031206864662e-14	3.2212088949292356e-08	1.311597859472974e-07	3.301259241457676e-08	9.816380126244263e-08	2.6302224865282935e-07	3.2285285433512365e-08	3.2212524031713263e-08	6.439533670168607e-08	3.2211366045339365e-08	2.800799050214576e-07	9.755772052617611e-08	3.221316194463226e-08	6.444031206864662e-14	9.778982198629483e-08	7.889132836446754e-08	1.2890541035858595e-07	3.221236305423955e-08	6.444628645874841e-08	8.698678770662111e-08	3.301272096536852e-08	0.9999967601059373	6.444031206864662e-14	2.9352482052145557e-07	6.448705051413546e-08	3.233341580218671e-08	3.221425308738615e-08	3.3955128514786963e-08	6.619058861539761e-08	1.9317517077299402e-07	6.444031206864662e-14	1.3601479587882804e-07	3.2213849367675523e-08	6.681125308482026e-08	5.8344219708558773e-08	3.221458070968118e-08	6.444031206864662e-14	3.576725764727912e-07	6.444031206864664e-08
n1	0.006349099586182454	0.018391369894029484	1.2700298473346742e-08	0.006348627585329562	0.025849865798974202	0.0065063275391563915	0.019346733982033255	0.05183806464908563	0.006362985344732712	0.006348645074015164	0.012691434447614855	0.006348416850840811	0.05519989391686732	0.019227283811752722	0.0063523383006556106	1.2700298473346747e-08	0.01927302781461334	0.01554839486376477	0.025405599255623128	0.008391462900656952	0.019978537115215588	0.017143898464285316	0.006506352874747918	0.006358641369057533	1.2700298473346742e-08	0.0578497016896323	0.012709509977587383	0.00637247117787308	0.022689110405327294	0.006692088430286498	0.013045816563168685	0.03807216705970056	1.2700298473346742e-08	0.026806675450165643	0.0063489062794897765	0.013167578311098433	0.3409371863768604	0.006349083485378306	1.2700298473346742e-08	0.0704923413793578	0.012700298473346743
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	0.00072638387931195	0.0021041085319257196	1.4530079341419363e-09	0.000726512598691787	0.0029576228159712737	0.0007443719182159657	0.0022134092387373653	0.0059306574080723665	0.0007279725126246704	0.0007263318797549731	0.0014519938241394114	0.000726305769338451	0.006315275502644609	0.0021997432571451638	0.0007363039670981011	1.4530079341419363e-09	0.002204976708881387	0.0017788511937443137	0.0029069021223526808	0.006428381362725146	0.0017514161119591375	0.0019613885880719827	0.0007443748167947339	0.0007273561117536948	1.4530079341419363e-09	0.0066184330800715205	0.0014540617982519112	0.0007290577619866304	0.0013961227735231098	0.0007656243359628217	0.0014940439347334634	0.004355737065850599	1.4530079341419363e-09	0.0030669658364855766	0.0007263617635902112	0.0015064681983351477	0.9208521531530443	0.0007264705554580267	1.4530079341419363e-09	0.008064844423570293	0.001453007934141936
n440	0.0077427236329627004	0.022428265990822278	1.548800736238411e-08	0.007742077906220583	0.0315238183109569	0.007934463039590441	0.02359333199772092	0.06321649279516595	0.007759657308273704	0.0077421693556151035	0.015477197687628511	0.007741891037573045	0.06731624183332856	0.023447662577382056	0.00774300843257574	1.548800736238411e-08	0.023503447365005516	0.018961259424620867	0.030981994552873978	0.00813481373388334	0.06165612368045887	0.020906975233066807	0.007934493936331092	0.007752688944495607	1.548800736238411e-08	0.0705476810297864	0.015499240786999841	0.007771225276839535	0.11140659025485439	0.008160998349410446	0.015908788469560873	0.04642898786670594	1.548800736238411e-08	0.03269069441147316	0.0077424878955551215	0.01605785488073811	0.07734852363586413	0.007742670027613131	1.548800736238411e-08	0.0859653735356255	0.01548800736238411
n3	0.0006913286061140243	0.00200256429131893	1.382885796890552e-09	0.0006913367657352321	0.0028147582775219352	0.0007084485425834432	0.0021065901479497564	0.005644443986254146	0.0006928405720164812	0.0006912791160601131	0.0013819206278188466	0.0006912542657318314	0.006010500418372087	0.0020935836863879456	0.0006947937484359722	1.382885796890552e-09	0.0020985645718357665	0.0016930038665367102	0.002766418602482627	0.016126883579949076	0.0014878805918776177	0.0018667320094365022	0.0007084513012768514	0.000692213906975117	1.3828857968905523e-09	0.006299027616464093	0.0013838888015371836	0.000693873447263391	0.0009267866976369519	0.0007286753190250101	0.0014209988193498227	0.0041455292719455444	1.3828857968905523e-09	0.0029189014237973464	0.00069130755770199	0.0014337660696775464	0.9152515699038088	0.0006913557037421895	1.382885796890552e-09	0.0076756351740594675	0.0013828857968905517
n5	7.709212719303765e-06	2.2331195212473878e-05	1.5420974406826696e-11	8.220211986123055e-06	3.196777701694611e-05	7.900122243136756e-06	2.3491218747239414e-05	6.294288830538984e-05	7.726073080728101e-06	7.708660816899315e-06	1.5410211516943456e-05	7.70838370343319e-06	6.702489340215046e-05	2.334617979223745e-05	3.4449654016865386e-05	1.54209744068267e-11	2.340172314020363e-05	1.887919404134825e-05	3.172701727797828e-05	3.0243707779687518e-05	1.6601201867744335e-05	2.0816488683774364e-05	7.900153006154601e-06	7.719087051648195e-06	1.5420974406826696e-11	7.024234675039852e-05	1.5432159212557154e-05	7.737590982483878e-06	1.035598130701513e-05	8.125677095561559e-06	2.0057458502727103e-05	4.6228040630084446e-05	1.5420974406826696e-11	3.2784990394969056e-05	7.708977978180789e-06	1.598835559349073e-05	0.9991711417806941	7.957023310888923e-06	1.54209744068267e-11	8.559331062728231e-05	1.5420974406826698e-05
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
