node	Angola	Argentina	Australia	Brazil	Cambodia	Canada	Cape Verde	China	Colombia	Cuba	Dominican Republic	Ecuador	El Salvador	French Guiana	French Polynesia	Guatemala	Guinea	Haiti	Honduras	India	Indonesia	Italy	Jamaica	Japan	Martinique	Mexico	Micronesia	Nicaragua	Nigeria	Panama	Peru	Philippines	Portugal	Puerto Rico	Russia	Singapore	South Korea	Suriname	Taiwan	Thailand	USA	Venezuela	Vietnam
root	0.004274569253473612	0.004220015633962913	0.004220140079551479	0.022177368516173565	0.046978595056645894	0.025277005963963	0.0042320307728294145	0.023944245954888862	0.02703618595268137	0.013256182524894437	0.022601123120046675	0.004224229584924271	0.004220489120900902	0.004220422176364738	0.004329469647717495	0.012827931978104288	4.523753686034379e-09	0.016885364090215137	0.0046646616302532095	0.0042433981202871715	0.004245046286433526	0.01683624553516702	0.01684399656053742	0.02108862493313873	0.004286225068751831	0.05524667245074794	0.11314782995668853	0.051693861082616914	4.523753686034379e-09	0.008532152940745922	0.004227010570639554	0.04982827210181585	0.004220490324198442	0.008672044474120157	0.02529273627713095	0.017876661897558065	0.03493974602766789	0.008535923176243817	0.00841269415277642	0.21499936659149943	0.06430273558843742	0.008414317433362926	0.004523908344335481
EU545988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n0	0.004006662158495129	0.003955527667522772	0.003955644313528704	0.020787409897861986	0.05430867313040222	0.02369278192159492	0.003966789761869789	0.022443550584613635	0.02534170269404777	0.012425356039193442	0.02118460583390789	0.00395947751061887	0.003955971478836729	0.00395590873002536	0.00405812916511398	0.012023945941840452	4.240229046109825e-09	0.015827079951436132	0.004372305635458365	0.003977531135470806	0.003984883064699669	0.015781039884210334	0.01578830511684538	0.0197669029285343	0.004017587449730894	0.05178410706793655	0.09065471986335649	0.0484539668781632	4.240229046109825e-09	0.00799740331505911	0.003962084199051789	0.057665727226181476	0.003955972606718027	0.008128527196748229	0.02370752310166148	0.01675624882898193	0.039122670371040696	0.008000937252399289	0.007885431863980052	0.25198695077173505	0.06027258469623498	0.007886953105842158	0.004240411178591831
n00	0.004340217603958135	0.0042848261561373845	0.004284952512947205	0.0225179660301783	0.01915524236834784	0.025665198353566683	0.00429702582214584	0.024311974366578216	0.02745140463459746	0.01345976947480147	0.02294822860926596	0.004289104824480361	0.004285306914834143	0.004285238942171373	0.004395940385206796	0.013024941904614631	4.593228982813138e-09	0.017144687599584516	0.00473630097528095	0.00430832751228656	0.004293867596909072	0.01709481468733082	0.017102684752071027	0.021412501646235888	0.004352052427927334	0.0560951445893624	0.029882468484621484	0.05248776954660826	4.593228982813138e-09	0.008663188779312924	0.004291928520259303	0.20134523694928821	0.004285308136611789	0.008805228751013503	0.025681179256382716	0.01815120879966175	0.12312847540974872	0.008667016917660603	0.00854189452279205	0.07810425000545168	0.06529028971908882	0.008543543567552837	0.004593282756667015
n2	0.0024876328991823996	0.002455884816365865	0.0024559572388538203	0.012906365125162871	0.10720766111825217	0.0147102586494142	0.002462877159444238	0.01393463189831109	0.015734007722450486	0.007714582174495534	0.013152973808112185	0.002458337171778868	0.0024561603673312203	0.002456121408217282	0.002519640897166524	0.007465357027792784	2.6326485383368087e-09	0.009826624563716772	0.0027146514764129844	0.0024701646883343595	0.0025162647947100823	0.00979803947683376	0.009802550271856704	0.01227275874468832	0.0024944161299206374	0.03215141264752068	0.028329353215515635	0.03008381474001925	2.6326485383368087e-09	0.004965380860073235	0.002459955597203108	0.01848463215981577	0.002456161067603545	0.005046792286606103	0.014719387882698514	0.010403523666096516	0.014220678644196258	0.004967574990360072	0.0048958628294908935	0.5173900230278426	0.03742168884671489	0.00489680518203981	0.00263302746210089
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	3.465127431867162e-07	3.4209042055571534e-07	3.421005085855763e-07	1.7977813308223326e-06	4.785005463307832e-07	2.049048609682796e-06	3.4306441313403595e-07	1.941010558193616e-06	2.1916554404064977e-06	1.0745962688877365e-06	1.8321324809661163e-06	3.424320193509829e-07	3.4212880319686973e-07	3.4212337641969234e-07	3.5096075420995866e-07	1.0398806606147212e-06	3.667125753021721e-13	1.3687914462614607e-06	3.781351059462575e-07	3.439578697422467e-07	3.422095126249042e-07	1.3648097105024107e-06	1.3654380379207639e-06	1.7095236600853254e-06	3.4745760763659054e-07	4.478504122325323e-06	5.762649961123475e-07	4.190499801844232e-06	3.667125753021721e-13	6.91648572165244e-07	3.426574565662492e-07	2.1448368511097362e-06	3.421289007407173e-07	7.029887087038465e-07	2.050324818802452e-06	1.4491496952376332e-06	0.9999519446557003	6.919542017076298e-07	6.819646939247059e-07	1.0746465784029937e-06	5.2126228356349365e-06	6.82096380473672e-07	3.6671306722687983e-07
n22	6.494837320146866e-15	6.411947825805593e-15	6.412136910086375e-15	3.369658839529745e-14	0.9999999999989911	3.8406207262551456e-14	6.430203787445116e-15	3.6381199592913666e-14	4.1079140167681786e-14	2.0141619863895974e-14	3.4340446770871226e-14	6.418350558887261e-15	6.4126672481504184e-15	6.412565531732674e-15	6.5782272900917075e-15	1.9490930292916228e-14	6.873451457905923e-21	2.5655846555364276e-14	7.0875488606030344e-15	6.4471698731500614e-15	6.429150213140145e-15	2.5581215170183423e-14	2.5592992181119475e-14	3.204233692870849e-14	6.5125473207520016e-15	8.394252818701293e-14	1.3488034354966495e-14	7.85443393878893e-14	6.873451457905923e-21	1.2963866545319389e-14	6.42257602553416e-15	1.0796154440015804e-14	6.412669076456688e-15	1.3176419599874123e-14	3.843011956534723e-14	2.7162036538117438e-14	1.5344966548408837e-14	1.2969595091230203e-14	1.2782358214641694e-14	1.483228777463536e-13	9.770243084678978e-14	1.278482570971529e-14	6.873555087217615e-15
n3	8.94775525481632e-06	8.833560722759214e-06	8.83382121887133e-06	4.642284494919226e-05	0.00020299083867805933	5.2975273010334914e-05	8.858711449196204e-06	5.0154152939995325e-05	5.6593579512534916e-05	2.7748544897135726e-05	4.7309870578845366e-05	8.842381588587364e-06	8.834551850750423e-06	8.834411718893918e-06	9.210501968216027e-06	2.685210812112475e-05	9.469361335721937e-12	3.534534038603616e-05	9.764317323931707e-06	1.0592580133496822e-05	0.00012543862269853164	3.524252281940447e-05	3.525874767713296e-05	4.4143830965259744e-05	8.972153826045478e-06	0.00011564526725835337	5.678878385869278e-05	0.00010820833391992808	9.469361335721937e-12	1.7859955420868962e-05	8.848202895500867e-06	3.85424678557556e-05	8.834554369556705e-06	1.8152783803947902e-05	5.294409810964741e-05	3.7426404818665606e-05	3.490223209064182e-05	1.7867847477936647e-05	1.761583472787515e-05	0.9984169422749408	0.0001346018993125332	1.7613295882125186e-05	1.0204720029249673e-05
KY120353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
